Date,Difficulty,Miners_Revenue,Hash_Rate,Total_transaction_fees,Total_Bitcoins,Class
2020-06-28,15784744305477.0,8666896.61256926,117699584.319003,19.69907106,18417425.0,2
2020-06-29,15784744305477.0,8562734.80271627,113776264.841703,33.39475024,18418300.0,2
2020-06-30,15784618886622.5,8801310.46204946,115344676.145677,42.97241908,18419175.0,3
2020-07-01,15784217546288.0,10124055.9362646,127111309.039231,62.82571084,18420281.25,2
2020-07-02,15784217546288.0,9907317.70423729,128680584.459468,56.01403666,18421156.25,3
2020-07-03,15784217546288.0,9873738.20676215,127895946.749349,53.7862554100001,18422256.25,3
2020-07-04,15784217546288.0,9203934.10591,123188120.488637,31.87048128,18423350.0,2
2020-07-05,15784217546288.0,9453537.18129459,127895946.749349,25.1095593,18424225.0,3
2020-07-06,15784217546288.0,9573702.5263014,120834207.358281,36.90829526,18425331.25,2
2020-07-07,15784217546288.0,9827305.84595956,126326671.329112,40.72918894,18426212.5,3
2020-07-08,15784217546288.0,9269106.00709557,118480294.227925,47.68607406,18427087.5,2
2020-07-09,15784217546288.0,10324012.452296,128680584.459468,55.08128328,18428193.75,3
2020-07-10,15784217546288.0,9821730.66445103,126326671.329112,48.41811415,18429293.75,2
2020-07-11,15784217546288.0,9308390.99757443,122403482.778518,32.6994024,18430168.75,3
2020-07-12,15784217546288.0,9012154.57131376,119264931.938044,24.5852307,18431043.75,2
2020-07-13,16570395220715.7,8910800.3628078,121086665.700822,40.91827816,18432137.5,3
2020-07-14,17345948872516.0,9003009.80517444,124167138.542574,62.95443097,18433018.75,2
2020-07-15,17345948872516.0,8552242.70922882,118993507.769967,64.32008944,18433893.75,3
2020-07-16,17345948872516.0,8476261.34494985,117268964.179098,78.15856789,18434768.75,3
2020-07-17,17345948872516.0,7439212.40619956,101748071.861276,77.30576136,18435425.0,2
2020-07-18,17345948872516.0,8257260.54422192,112095333.40649,76.31263773,18436306.25,2
2020-07-19,17345948872516.0,8030628.81677879,112957605.201925,45.96803343,18436968.75,2
2020-07-20,17345948872516.0,8809861.14917053,121580323.15627,78.58857188,18437843.75,3
2020-07-21,17345948872516.0,8215338.73446885,107783974.429318,102.28349837,18438718.75,2
2020-07-22,17345948872516.0,9764974.36846801,124167138.542574,143.27483781,18439593.75,2
2020-07-23,17345948872516.0,9402091.57921377,117268964.179098,135.00696882,18440468.75,2
2020-07-24,17345948872516.0,10810915.0426475,138825759.064961,124.38037589,18441562.5,3
2020-07-25,17345948872516.0,9515131.31193061,122442594.951705,89.04999864,18442443.75,2
2020-07-26,17345948872516.0,10587041.6037513,136238943.678657,76.48811017,18443325.0,2
2020-07-27,17309155182109.1,11099308.3016979,128205972.903398,121.12370183,18444206.25,1
2020-07-28,16847561611550.0,12037341.111269,121437040.395232,187.57139032,18445081.25,3
2020-07-29,16847561611550.0,12189404.7472878,123949530.886168,174.64034253,18446175.0,2
2020-07-30,16847561611550.0,11301864.6984554,113062072.092113,179.95866069,18446831.25,2
2020-07-31,16847561611550.0,12639960.4220093,128137015.037728,171.64760126,18447925.0,2
2020-08-01,16847561611550.0,11439834.2341845,114737065.752737,128.24563386,18448800.0,2
2020-08-02,16847561611550.0,11205874.8463142,118087053.073985,106.63995761,18449675.0,3
2020-08-03,16847561611550.0,12873862.5784736,135674486.510536,130.16320882,18450550.0,2
2020-08-04,16847561611550.0,11438679.0832375,121437040.395232,111.40338573,18451643.75,3
2020-08-05,16847561611550.0,10806917.3916886,108037091.110241,136.17255821,18452300.0,2
2020-08-06,16847561611550.0,13771270.4382111,130649505.528664,196.22049311,18453393.75,2
2020-08-07,16847561611550.0,12898632.9438048,127299518.207416,137.20910291,18454275.0,3
2020-08-08,16847561611550.0,11292366.647165,118924549.904297,78.94533308,18455150.0,2
2020-08-09,16847561611550.0,12105371.3641104,130649505.528664,62.66871355,18456243.75,3
2020-08-10,16871707187017.9,11774383.1865932,114901504.532898,133.6661337,18456900.0,2
2020-08-11,16947802333947.0,12966824.4492047,129741892.842126,151.68404592,18457993.75,3
2020-08-12,16947802333947.0,12684820.6087768,132269332.313077,125.0328247,18458868.75,2
2020-08-13,16947802333947.0,11879252.2971003,123844534.076575,109.0639238,18459962.5,2
2020-08-14,16947802333947.0,13709961.9922364,140694130.549579,106.55290555,18460843.75,3
2020-08-15,16947802333947.0,12537672.5372401,131426852.489427,67.51446166,18461943.75,2
2020-08-16,16947802333947.0,12130221.317492,128056933.194826,60.46191905,18462825.0,2
2020-08-17,16947802333947.0,10390360.2175087,105309977.956271,81.70844023,18463700.0,2
2020-08-18,16947802333947.0,12747409.9454137,117947175.311024,158.12712801,18464581.25,3
2020-08-19,16947802333947.0,11920459.626279147,116262215.6637237,147.58221747,18465456.25,3
2020-08-20,16947802333947.0,12309250.391919043,123002054.25292505,130.64720271000004,18466331.25,2
2020-08-21,16947802333947.0,12988330.809193192,130584372.66577661,136.10850768000006,18467206.25,3
2020-08-22,16947802333947.0,11060458.286919411,114577256.01642336,93.50701843000004,18468087.5,2
2020-08-23,16947802333947.0,12250514.724347962,132269332.31307696,59.10621225,18468962.5,3
2020-08-24,17340945336075.322,11845489.149642441,128441437.17505692,78.44959878000006,18470062.5,2
2020-08-25,17557993035167.0,10414543.565818902,111720008.69546376,90.01229804,18470725.0,3
2020-08-26,17557993035167.0,11345447.778234858,123939384.6465301,108.47218762,18471600.0,2
2020-08-27,17557993035167.0,10690122.01226198,112592821.26339707,122.89984729000001,18472481.25,3
2020-08-28,17557993035167.0,13003916.081702596,142268448.57312962,103.33520898,18473581.25,2
2020-08-29,17557993035167.0,11257775.012961268,127430634.91826336,65.85247621999999,18474456.25,3
2020-08-30,17557993035167.0,9959939.36462156,110847196.12753047,64.10535846999996,18475112.5,2
2020-08-31,17557993035167.0,12191565.474340877,130921885.1899966,91.53783350000002,18476212.5,3
2020-09-01,17557993035167.0,12943722.052071035,134413135.46172985,125.93549408999998,18477087.5,2
2020-09-02,17557993035167.0,12071209.204979686,125685009.78239675,127.52455508999998,18477968.75,3
2020-09-03,17557993035167.0,10387319.325323954,112592821.26339707,134.31577789,18478843.75,3
2020-09-04,17557993035167.0,10521917.64225536,117829696.67099695,155.46345969000004,18479725.0,2
2020-09-05,17557993035167.0,10426131.583986409,123066572.0785968,119.88963774000007,18480606.25,3
2020-09-06,17557993035167.0,10418304.66587639,130921885.1899966,70.73717940000002,18481481.25,2
2020-09-07,17445332713343.377,12203310.681068864,151762133.7678071,96.71790986000002,18482587.5,2
2020-09-08,17345997805929.0,10676168.86571476,133652505.32879263,84.06185256999996,18483462.5,3
2020-09-09,17345997805929.0,10385265.13427389,128478859.9612265,89.19580010999998,18484556.25,2
2020-09-10,17345997805929.0,11342158.755076,136239328.01257572,110.38966361000008,18485431.25,2
2020-09-11,17345997805929.0,9984827.136857176,118993843.45402186,95.16710292000002,18486312.5,2
2020-09-12,17345997805929.0,11755971.409291402,146586618.74770805,58.11575528999997,18487412.5,2
2020-09-13,17345997805929.0,11038733.637861196,139688424.9242865,49.081379420000005,18488506.25,3
2020-09-14,17345997805929.0,12485219.771708764,151760264.11527425,75.47210429,18489606.25,2
2020-09-15,17345997805929.0,11329376.27027292,134514779.55672038,77.13367663000002,18490481.25,2
2020-09-16,17345997805929.0,11397006.21477204,133652505.32879263,77.67308339000006,18491356.25,2
2020-09-17,17345997805929.0,12881875.598747488,153484812.57112962,70.95057486999995,18492450.0,3
