Date,Bitcoin_my_wallet_num_users,Volume,Difficulty,wallet_num_transaction,Bitcoin_Avg_Block_Size,Miners_Revenue,Hash_Rate,Bitcoin_Cost_Transaction,Bitcoin_Cost_percentage_of_Transaction_Volume,Estimated_Transaction_Volume,Total_Output_Volume,num_transaction_per_Block,num_of_unique_addresses,num_of_transaction,Total_transaction_fees,Total_Bitcoins,Median_transaction_confirmation_time,LT_Rate,AAA,Gold,Oil,Bitcoin_my_wallet_num_users_2,Volume_2,Difficulty_2,wallet_num_transaction_2,Bitcoin_Avg_Block_Size_2,Miners_Revenue_2,Hash_Rate_2,Bitcoin_Cost_Transaction_2,Bitcoin_Cost_percentage_of_Transaction_Volume_2,Estimated_Transaction_Volume_2,Total_Output_Volume_2,num_transaction_per_Block_2,num_of_unique_addresses_2,num_of_transaction_2,Total_transaction_fees_2,Total_Bitcoins_2,Median_transaction_confirmation_time_2,LT_Rate_2,AAA_2,Gold_2,Oil_2,Class
2019-02-22,33513777.0,196426384.1712,6061518831027.0,71803.0,1.0851842284,8096363.88186,48813797.1437796,23.1122615138,1.36231468321,151533.527865,1376221.90008537,2162.38271605,542172.0,350306.0,39.01280561,17552712.5,8.675,1.01,3.33,1329.05,66.56,1123173248805729.0,3.858332439857186e+16,3.674201053889493e+25,5155670809.0,1.1776248095681032,65551108107487.13,2382786791594065.5,534.1766322822807,1.8559012960895624,22962410067.212734,1893986718274.5862,4675899.010671775,293950477584.0,122714293636.0,1521.9990015636477,308097716107656.25,75.25562500000001,1.0201,11.0889,1766373.9024999999,4430.2336000000005,2
2019-02-25,33629564.0,400105758.6783,6071846049921.0,66020.0,1.10952616084,6913971.36597,43162133.913638,20.5385414604,0.876975610791,208068.255865,1518114.00751512,2354.08391608,502106.0,336634.0,38.85345862,17557787.5,8.70833333333333,1.01,3.34,1331.05,65.36,1130947574830096.0,1.6008461812753805e+17,3.6867314453941253e+25,4358640400.0,1.2310483015883495,47803000049453.06,1862969803978819.8,421.8316853205698,0.7690862219222474,43292399098.70311,2304670139813.618,5541711.083946549,252110435236.0,113322449956.0,1509.5912467360522,308275901895156.25,75.83506944444439,1.0201,11.1556,1771694.1024999998,4271.9295999999995,2
2019-02-28,33780967.0,226984139.4655,6071846049921.0,67453.0,1.13073727333,7350871.43467,45274965.6436762,19.7540348132,0.785255810648,245556.344064,1540872.98206993,2452.18,523892.0,367827.0,30.29594178,17563812.5,7.525,1.06,3.43,1319.15,65.28,1141153731455089.0,5.152179956889355e+16,3.6867314453941253e+25,4549907209.0,1.2785667812977632,54035310849047.39,2049822514036060.2,390.2218914011176,0.6166266881564476,60297918110.07755,2374289546873.079,6013186.7524,274462827664.0,135296701929.0,917.8440883371495,308487509535156.25,56.62562500000001,1.1236000000000002,11.7649,1740156.7225000001,4261.4784,2
2019-03-06,33974721.0,278485172.505,6071846049921.0,70035.0,1.23564930469,6388631.3375,38634637.3492703,22.7949666833,1.0580462058,157270.306104,1431566.50008297,2170.8046875,524992.0,277863.0,38.43684345,17574312.5,12.05,1.06,3.41,1285.85,65.04,1154281667027841.0,7.75539913051396e+16,3.6867314453941253e+25,4904901225.0,1.5268292041808802,40814610366487.05,1492635203109631.5,519.610506092757,1.1194617736077759,24733949182.045856,2049382644159.804,4712392.991271973,275616600064.0,77207846769.0,1477.3909343998077,308856459847656.25,145.20250000000001,1.1236000000000002,11.628100000000002,1653410.2224999997,4230.201600000001,2
2019-03-12,34127053.0,116557011.3127,6068891541677.0,67821.0,1.00416113287,7088005.70445,43141131.5892332,24.700068317,1.11742030609,164931.861181,1487057.81899102,1997.57342657,532589.0,285653.0,31.50427651,17584712.5,8.54166666666667,1.01,3.34,1297.05,66.3,1164655746464809.0,1.3585536886148876e+16,3.6831444544638633e+25,4599688041.0,1.0083395807667617,50239824866315.74,1861157234799534.5,610.0933748644671,1.2486281404622694,27202518832.62865,2211340957022.3296,3990299.5945386114,283651042921.0,81597636409.0,992.5194384185378,309222113707656.25,72.9600694444445,1.0201,11.1556,1682338.7025,4395.69,2
2019-03-15,34193691.0,168146954.5833,6068891541677.0,67844.0,0.987588411765,7723228.79179,46157993.9381306,25.8197478338,1.41794984006,140553.549031,1368445.67844443,1940.98039216,558693.0,296970.0,31.12448995,17590587.5,7.30833333333333,0.97,3.33,1303.5,66.91,1169208504203481.0,2.827339833563835e+16,3.6831444544638633e+25,4602808336.0,0.9753308710525153,59648262970334.02,2130560404392501.5,666.6593782010199,2.0105817489261795,19755300145.20972,1872643574853.2363,3767404.8827495878,312137868249.0,88191180900.0,968.7338746476511,309428768595156.25,53.41173611111106,0.9409,11.0889,1699112.25,4476.9481,2
2019-03-18,34294094.0,105693358.7448,6068891541677.0,67958.0,0.926942732919,8269486.75644,48571483.8172485,28.1276016464,1.38307859148,150812.2418,1780600.0876155,1810.59006211,533680.0,291505.0,22.37480548,17596362.5,6.21666666666667,0.96,3.33,1305.6,66.87,1176084883280836.0,1.117108608275699e+16,3.6831444544638633e+25,4618289764.0,0.8592228301113445,68384411214936.55,2359189040209233.0,791.161974378564,1.9129063902103005,22744332276.741665,3170536672016.326,3278236.3730114936,284814342400.0,84975165025.0,500.631920267838,309631973231406.25,38.64694444444449,0.9216,11.0889,1704591.3599999999,4471.5969000000005,2
2019-03-21,34377269.0,147543802.276,6068891541677.0,68429.0,1.03964635664,7388901.05849,43141131.5892332,24.324238836,1.13588656485,162727.433992,1470280.03096176,2102.88111888,535702.0,300712.0,35.53040752,17602087.5,8.18333333333333,0.89,3.28,1309.6,67.78,1181796623898361.0,2.176917359005938e+16,3.6831444544638633e+25,4682528041.0,1.0808645468748261,54595858852154.64,1861157234799534.5,591.6685949507706,1.2902382882067334,26480217773.62072,2161723369444.9143,4422109.000142001,286976632804.0,90427706944.0,1262.4098585372724,309833484357656.25,66.9669444444444,0.7921,10.758399999999998,1715052.1599999997,4594.1284000000005,3
2019-03-27,34507055.0,77182620.0366,6379265451411.0,74242.0,1.19962981879,7721974.78508,47250135.8386646,19.94203513,1.23708886591,156424.378785,1298958.05960887,2571.71812081,569697.0,383186.0,48.02051729,17613562.5,11.75,0.88,3.13,1309.7,67.15,1190736844773025.0,5957156835714167.0,4.069502769956599e+25,5511874564.0,1.4391117021301285,59628894581411.31,2232575336772256.8,397.68476512615416,1.5303888621584898,24468586278.27316,1687292040622.8406,6613734.092902518,324554671809.0,146831510596.0,2305.970080799189,310237583941406.25,138.0625,0.7744,9.796899999999999,1715314.09,4509.1225,2
2019-04-02,34783128.0,178833230.7077,6379265451411.0,86388.0,1.21550697452,9796335.10709,49787055.8836936,24.0868412233,0.671602430431,310399.236201,3429198.98234587,2557.36942675,666741.0,401507.0,114.48978878,17624262.5,9.81666666666667,0.88,3.21,1290.3,68.83,1209865993464384.0,3.198132440535346e+16,4.069502769956599e+25,7462886544.0,1.477457205106764,95968181530404.05,2478750933566029.5,580.1759201164642,0.45104982456082615,96347685834.16418,11759405660521.951,6540138.3848756235,444543561081.0,161207871049.0,13107.911734889014,310614628668906.25,96.36694444444451,0.7744,10.3041,1664874.0899999999,4737.5689,1
2019-04-05,34934498.0,476408009.5764,6379265451411.0,77502.0,1.24096885443,10526385.5093,50104170.8893222,27.0537186818,1.17150693291,180381.78202,1082539.14209132,2449.93670886,632546.0,387090.0,114.82307281,17629750.0,11.5833333333333,0.91,3.23,1288.45,69.02,1220419150512004.0,2.2696459158854723e+17,4.069502769956599e+25,6006560004.0,1.5400036976653064,110804791890401.0,2510427940506402.0,731.9036945139743,1.3724284938561955,32537587284.7108,1171890994159.8108,6002189.877419769,400114442116.0,149838668100.0,13184.338049530561,310808085062500.0,134.17361111111035,0.8281000000000001,10.4329,1660103.4025,4763.760399999999,2
2019-04-08,35060171.0,382675686.0166,6393023717202.0,73403.0,1.21837111486,10509444.2188,47034242.0441478,27.8061463004,1.06805762353,187960.877418,1489013.44015008,2516.33108108,579028.0,372417.0,130.54444043,17635225.0,9.75833333333333,0.92,3.24,1300.0,70.33,1229215590549241.0,1.4644068066827542e+17,4.087075224870727e+25,5388000409.0,1.4844281735251994,110448417788068.77,2212219924667480.2,773.1817720792485,1.1407470871805514,35329291439.744415,2217161024947.5757,6331922.109609241,335273424784.0,138694421889.0,17041.850927181822,311001160800625.0,95.22506944444437,0.8464,10.497600000000002,1690000.0,4946.3089,2
2019-04-11,35280965.0,368160408.1908,6393023717202.0,76777.0,1.20169284713,10673185.0684,49894432.4387244,26.4973487431,1.01647469199,205019.633138,1887212.51414962,2565.61783439,620631.0,402802.0,115.28509796,17640562.5,8.575,0.91,3.22,1298.8,70.41,1244746491331225.0,1.3554208615921648e+17,4.087075224870727e+25,5894707729.0,1.4440656988434053,113916879504316.7,2489454388382433.5,702.1094904134633,1.0332207994561655,42033049972.04011,3561571073562.9297,6582394.872140034,385182838161.0,162249451204.0,13290.653811646796,311189445316406.25,73.53062499999999,0.8281000000000001,10.368400000000001,1686881.44,4957.5680999999995,3
2019-04-17,35587956.0,205894131.1575,6393023717202.0,73516.0,1.22938033333,9679415.78377,43856252.7168405,26.8286900927,1.07973991343,171738.832383,1590656.71804428,2541.57246377,555678.0,350737.0,77.14980905,17650825.0,9.99583333333333,0.98,3.28,1275.85,70.81,1266502612257936.0,4.239239324510181e+16,4.087075224870727e+25,5404602256.0,1.5113760039785817,93691089915095.81,1923370902363379.5,719.7786120901392,1.165838280653824,29494226548.27617,2530188794659.4004,6459590.588593908,308778039684.0,123016443169.0,5952.0930364514625,311551623180625.0,99.9166840277777,0.9603999999999999,10.758399999999998,1627793.2224999997,5014.056100000001,2
2019-04-23,35995802.0,268620376.3607,6353030562984.0,63671.0,1.25576738793,8538019.90241,36634060.0211406,27.387129883,1.03416048647,149237.673039,2263367.8924946,2687.52586207,548492.0,311753.0,96.48121035,17661625.0,11.5541666666667,0.95,3.26,1269.5,73.37,1295697761623204.0,7.215690659616413e+16,4.03609973342088e+25,4053996241.0,1.5769517325885352,72897783853949.28,1342054353632531.8,750.0548832283116,1.069487911775867,22271883054.095463,5122834216775.446,7222795.259295098,300843474064.0,97189933009.0,9308.623950600946,311932997640625.0,133.49876736111187,0.9025,10.6276,1611630.25,5383.156900000001,2
2019-04-26,36292480.0,346365600.4305,6353030562984.0,74462.0,1.25549070861,10183521.9483,47687440.1999331,26.7137500644,0.851453352124,232219.470126,1494955.22722298,2524.56291391,593570.0,381209.0,91.44744899,17667350.0,9.6,0.88,3.2,1284.2,72.38,1317144104550400.0,1.1996912916158077e+17,4.03609973342088e+25,5544589444.0,1.5762569194060398,103704119271507.83,2274091952822195.0,713.624442503231,0.7249728108431963,53925882305.600204,2234891131401.3115,6373417.906289751,352325344900.0,145320301681.0,8362.635926778652,312135256022500.0,92.16,0.7744,10.240000000000002,1649169.6400000001,5238.8643999999995,2
2019-04-29,36566166.0,104885492.521,6353030562984.0,73472.0,1.2032676135,11244134.7807,51477170.5469476,30.4857896839,1.26899566428,172075.307758,1145104.01803515,2228.26380368,573010.0,363207.0,70.95469952,17673012.5,7.1,0.92,3.23,1279.5,71.07,1337084495939556.0,1.1000966541372746e+16,4.03609973342088e+25,5398134784.0,1.4478529496979853,126430566966547.44,2649899087519529.5,929.3833726509836,1.6103499959614385,29609911540.010418,1311263212120.2449,4965159.578790462,328340460100.0,131919324849.0,5034.569383973489,312335370825156.25,50.41,0.8464,10.4329,1637120.25,5050.944899999999,3
2019-05-02,36772309.0,51098585.5099,6353030562984.0,78712.0,1.10086151087,12941749.3454,58109198.6542231,27.9708514511,1.7019858918,141756.467314,986563.569209106,2460.0326087,584864.0,452646.0,64.71081505,17679387.5,6.13333333333333,0.96,3.26,1270.95,70.98,1352202709191481.0,2611065441112562.5,4.03609973342088e+25,6195578944.0,1.211896066114979,167488876119161.34,3376678968235963.5,782.368530899503,2.896755975886241,20094896025.345154,973307676090.6106,6051760.435867326,342065898496.0,204888401316.0,4187.489584435306,312560742375156.25,37.61777777777774,0.9216,10.6276,1615313.9025,5038.160400000001,2
2019-05-08,37371043.0,147447099.5428,6702169884349.0,88657.0,1.24307344737,11731703.7301,50641334.152295,29.8455120704,1.14277383138,176155.156438,1282820.63528939,2586.05921053,635596.0,393081.0,112.30765219,17689850.0,9.85416666666667,0.95,3.22,1285.2,69.88,1396594854907849.0,2.1740647163584376e+16,4.491908115867469e+25,7860063649.0,1.5452315955563363,137632872410842.27,2564544724724400.0,890.7545907443922,1.3059320296869246,31030639139.696255,1645628782324.2744,6687702.2403670475,403982275216.0,154512672561.0,12613.008740430012,312930793022500.0,97.1046006944445,0.9025,10.368400000000001,1651739.04,4883.214399999999,2
2019-05-14,37766574.0,459019962.2457,6702169884349.0,83053.0,1.23068711842,16211651.6224,50641334.152295,44.1289479882,0.977046322973,207249.617023,1652403.40849971,2416.90789474,669376.0,367370.0,132.68789564,17700875.0,10.5375,0.89,3.19,1298.4,70.66,1426314111697476.0,2.1069932574004384e+17,4.491908115867469e+25,6897800809.0,1.5145907834449228,262817648326064.56,2564544724724400.0,1947.3640505452606,0.9546195172350598,42952403756.18017,2730437024421.4595,5841443.771656538,448064229376.0,134960716900.0,17606.077649371528,313320975765625.0,111.03890625,0.7921,10.1761,1685842.5600000003,4992.835599999999,2
2019-05-17,37984542.0,295196717.872,6702169884349.0,80835.0,1.26140470861,15398528.2664,50308167.4802404,42.5780670651,1.18614716534,178012.627022,1366575.82679672,2395.05960265,676115.0,361654.0,227.26659937,17706462.5,10.5333333333333,0.9,3.16,1280.8,72.57,1442825430949764.0,8.714110224240115e+16,4.491908115867469e+25,6534297225.0,1.591141838903479,237114672771119.78,2530911715219917.5,1812.8917950001535,1.4069450978441171,31688495379.273685,1867529490385.139,5736310.500245977,457131493225.0,130793615716.0,51650.107189204085,313518814263906.25,110.9511111111104,0.81,9.985600000000002,1640448.64,5266.404899999999,3
2019-05-20,38157593.0,293462035.909,6704632680587.0,76813.0,1.17731763354,17411194.2865,53659544.8294566,45.6289717192,1.54387303848,142564.696329,1221183.04796327,2370.07453416,617241.0,381582.0,186.09991132,17712300.0,6.96666666666667,0.91,3.18,1276.85,72.47,1456001903553649.0,8.61199665198552e+16,4.495209938159522e+25,5900236969.0,1.3860768102442256,303149686482250.25,2879346751304462.5,2082.0030601515537,2.3835439589454674,20324692639.379986,1491288036632.862,5617253.297473741,380986452081.0,145604822724.0,34633.17699331186,313725571290000.0,48.534444444444496,0.8281000000000001,10.112400000000001,1630345.9224999999,5251.9009,3
2019-05-23,38414559.0,162680990.5773,6704632680587.0,79937.0,1.22699516456,16469421.0512,52659677.5344978,42.3005448955,1.39509866437,153387.204902,1221496.19922306,2464.19620253,630228.0,389343.0,163.9629164,17718312.5,10.025,0.87,3.1,1283.65,68.56,1475678343164481.0,2.6465104695211576e+16,4.495209938159522e+25,6389923969.0,1.5055171338536213,271241829761709.72,2773041638037292.0,1789.3360984562114,1.946300283326958,23527634627.648132,1492052964716.3813,6072262.924563273,397187331984.0,151587971649.0,26883.83795439339,313938597847656.25,100.50062500000001,0.7569,9.610000000000001,1647757.3225000002,4700.4736,2
2019-05-29,38757603.0,134279873.6864,6704632680587.0,84048.0,1.22425102299,20660475.7497,57992303.1076115,50.4708034583,0.760703418532,315186.746689,1426452.61513325,2328.47701149,680323.0,405155.0,187.08362645,17730162.5,6.85,0.8,3.07,1281.65,67.75,1502151790305609.0,1.803108447723554e+16,4.495209938159522e+25,7064066304.0,1.4987905672920618,426855258203941.75,3363107219725086.5,2547.302001726347,0.5786696909662711,99342685288.39584,2034767063220.4875,5421805.193037403,462839384329.0,164150574025.0,35000.28328568314,314358662276406.25,46.92249999999999,0.6400000000000001,9.4249,1642626.7225000001,4590.0625,3
2019-06-04,39072961.0,189061316.5932,7459680720542.0,86127.0,1.25325847403,17028462.3207,57106701.9552403,44.8260164967,0.770200742445,280734.766656,1741205.06778663,2433.52597403,687738.0,374763.0,217.91296317,17740812.5,9.3625,0.73,2.97,1324.25,61.63,1526696281307521.0,3.57441814319542e+16,5.564683645242601e+25,7417860129.0,1.570656802728004,289968529007499.7,3261175408204646.5,2009.3717549624205,0.5932091836628293,78812009209.39876,3031795088085.843,5922048.666278659,472983556644.0,140447306169.0,47486.05951752978,314736428160156.25,87.65640625000002,0.5328999999999999,8.820900000000002,1753638.0625,3798.2569000000003,3
2019-06-07,39193769.0,155472100.7461,7459680720542.0,74844.0,1.1877808038,16904713.8524,58589992.9151166,47.086765491,1.53552459037,138819.193944,1454553.10102943,2215.25949367,619327.0,350011.0,106.492469,17746712.5,8.2875,0.71,2.92,1340.65,62.71,1536151528425361.0,2.417157411040547e+16,5.564683645242601e+25,5601624336.0,1.410823237875774,285769350431524.5,3432787269793413.5,2217.163484404429,2.3578357676309567,19270768607.261887,2115724723714.3313,4907374.624295066,383565932929.0,122507700121.0,11340.64595371596,314945804557656.25,68.68265625,0.5041,8.526399999999999,1797342.4225000003,3932.5441,2
2019-06-10,39271688.0,75192236.2893,7459680720542.0,76334.0,1.15081056688,16318423.0158,58219170.1751475,45.5573724249,1.59297284924,130919.993322,1458520.17483975,2252.41401274,607094.0,353629.0,101.83001618,17752062.5,7.93333333333333,0.78,2.96,1328.6,63.01,1542265478369344.0,5653872398185923.0,5.564683645242601e+25,5826879556.0,1.3243649608426669,266290929722591.16,3389471775882784.5,2075.474182261039,2.5375624984158036,17140044651.432524,2127281100414.5747,5073368.884787509,368563124836.0,125053469641.0,10369.352195219062,315135723003906.25,62.937777777777725,0.6084,8.7616,1765177.9599999997,3970.2601,2
2019-06-13,39393001.0,170534084.3934,7459680720542.0,88881.0,1.26418884106,16311181.0856,55994233.735333,44.7650651546,1.43858630401,138909.662767,1228137.02502481,2413.06622517,667841.0,364373.0,109.4551359,17757437.5,9.45,0.79,2.9,1335.9,61.51,1551808527786001.0,2.908187393989528e+16,5.564683645242601e+25,7899832161.0,1.598173425860626,266054628407235.2,3135354211607104.5,2003.9110582955834,2.0695305540851523,19295894410.041668,1508320552236.791,5822888.607056193,446011601281.0,132767683129.0,11980.42677488747,315326586566406.25,89.30249999999998,0.6241000000000001,8.41,1784628.8100000003,3783.4800999999998,2
2019-06-19,39645327.0,91483265.5482,7409399249090.0,83487.0,1.15955762712,21219685.8901,65193212.5004535,52.9126999593,1.11174407933,208482.661805,1673182.62682249,2265.71751412,664204.0,401032.0,105.75494722,17768587.5,6.58333333333333,0.72,2.82,1344.05,62.21,1571751952936929.0,8369187875362476.0,5.489919723241545e+25,6970079169.0,1.3445738906121651,450275069274508.94,4250154956129286.5,2799.7538169829063,1.2359748979253093,43465020273.29801,2799540102700.608,5133475.853790113,441166953616.0,160826665024.0,11184.108861504987,315722701745156.25,43.340277777777736,0.5184,7.952399999999999,1806470.4024999999,3870.0841,2
2019-06-25,39916046.0,90826286.85,7409399249090.0,69051.0,1.24576424658,22012700.0893,53775192.2320125,60.9120469564,1.20206189283,161777.745833,1956241.05807187,2475.23972603,682866.0,361385.0,121.10744515,17780500.0,9.275,0.73,2.79,1431.4,64.79,1593290728274116.0,8249414382958482.0,5.489919723241545e+25,4768040601.0,1.5519285580570352,484558965221468.2,2891771299589898.0,3710.2774644186784,1.4449527941940423,26172039046.806747,3826879077286.149,6126811.701317069,466305973956.0,130599118225.0,14667.013270760259,316146180250000.0,86.025625,0.5328999999999999,7.7841000000000005,2048905.9600000002,4197.744100000001,1
2019-06-28,40043461.0,423175771.1325,7934713219631.0,106784.0,1.25548820859,25937334.7871,64293187.5738079,63.7133801705,0.977636723191,226300.969917,1467631.80564147,2497.50920245,729817.0,407094.0,182.26443511,17786162.5,14.9416666666667,0.72,2.75,1409.0,65.6,1603478768858521.0,1.7907773327358602e+17,6.295967387778695e+25,11402822656.0,1.5762506419085276,672745335858107.8,4133613968400847.0,4059.394812750663,0.955773562531636,51212128985.37495,2153943116930.4417,6237552.216322435,532632853489.0,165725524836.0,33220.3243059674,316347576476406.25,223.25340277777877,0.5184,7.5625,1985281.0,4303.36,1
2019-07-01,40111836.0,172764921.5896,7934713219631.0,64282.0,1.26303334965,20510124.418,56404452.902175,60.8858357963,1.25135791279,153689.380784,2100556.44406549,2355.67832168,624927.0,336862.0,126.93823662,17791962.5,8.96666666666667,0.76,2.77,1390.1,65.71,1608959387290896.0,2.9847718131860636e+16,6.295967387778695e+25,4132175524.0,1.595253242328099,420665203641839.9,3181462307193678.0,3707.0850006140063,1.5658966259021454,23620425765.769352,4412337374705.056,5549220.355233101,390533755329.0,113476007044.0,16113.315916195108,316553929601406.25,80.40111111111118,0.5776,7.6729,1932378.0099999998,4317.804099999999,3
