Date,Bitcoin_my_wallet_num_users,Volume,Difficulty,wallet_num_transaction,Bitcoin_Avg_Block_Size,Miners_Revenue,Hash_Rate,Bitcoin_Cost_Transaction,Bitcoin_Cost_percentage_of_Transaction_Volume,Estimated_Transaction_Volume,Total_Output_Volume,num_transaction_per_Block,num_of_unique_addresses,num_of_transaction,Total_transaction_fees,Total_Bitcoins,Median_transaction_confirmation_time,LT_Rate,AAA,Gold,Oil,Bitcoin_my_wallet_num_users_2,Volume_2,Difficulty_2,wallet_num_transaction_2,Bitcoin_Avg_Block_Size_2,Miners_Revenue_2,Hash_Rate_2,Bitcoin_Cost_Transaction_2,Bitcoin_Cost_percentage_of_Transaction_Volume_2,Estimated_Transaction_Volume_2,Total_Output_Volume_2,num_transaction_per_Block_2,num_of_unique_addresses_2,num_of_transaction_2,Total_transaction_fees_2,Total_Bitcoins_2,Median_transaction_confirmation_time_2,LT_Rate_2,AAA_2,Gold_2,Oil_2,Bitcoin_my_wallet_num_users_3,Volume_3,Difficulty_3,wallet_num_transaction_3,Bitcoin_Avg_Block_Size_3,Miners_Revenue_3,Hash_Rate_3,Bitcoin_Cost_Transaction_3,Bitcoin_Cost_percentage_of_Transaction_Volume_3,Estimated_Transaction_Volume_3,Total_Output_Volume_3,num_transaction_per_Block_3,num_of_unique_addresses_3,num_of_transaction_3,Total_transaction_fees_3,Total_Bitcoins_3,Median_transaction_confirmation_time_3,LT_Rate_3,AAA_3,Gold_3,Oil_3,Class
2016-09-28,8918780.0,9494530.32,241227200229.0,69454.0,0.782306155405405,1169060.70236937,1774737.43,4.95131824594944,0.76,248972.3,2545689.05,1587.80405405405,433852.0,234995.0,64.74431075,15899975.0,7.13,0.42,2.44,1322.5,42.21,79544636688400.0,90146105997399.31,5.8190562130322054e+22,4823858116.0,0.6120029207851857,1366702925824.3647,3149692945443.005,24.515552372671838,0.5776,61987206167.28999,6480532739289.901,2521121.7140704766,188227557904.0,55222650025.0,4191.825774492565,252809205000625.0,50.8369,0.17639999999999997,5.9536,1749006.25,1781.6841000000002,7.094411148037681e+20,8.558949366222417e+20,1.4037146382449263e+34,335036241588664.0,0.47877365205633726,1.597758682394505e+18,5.589877963284649e+18,121.38430177233916,0.43897600000000003,1.5433097290044374e+16,1.6497421232576805e+19,4003047278.3647985,8.16629024517662e+16,1.2977046642624876e+16,271396.870553606,4.0196600392798123e+21,362.46709699999997,0.07408799999999999,14.526784,2313060765.625,75204.885861,2
2016-09-29,8935190.0,1341833.2005,241227200229.0,72151.0,0.83,1083864.35,1714780.09064995,4.63,0.72,254451.07,1838851.92448829,1697.41,440834.0,242730.0,68.53,15900012.5,9.35,0.43,2.43,1318.1,44.34,79837620336100.0,1800516337964.0732,5.8190562130322054e+22,5205766801.0,0.6889,1174761929200.9226,2940470759289.451,21.436899999999998,0.5184,64745347024.144905,3381376400194.2876,2881200.7081000004,194334615556.0,58917852900.0,4696.360900000001,252810397500156.25,87.4225,0.18489999999999998,5.9049000000000005,1737387.6099999999,1966.0356000000004,7.133643068509174e+20,2.4159926003228723e+18,1.4037146382449263e+34,375601280458951.0,0.5717869999999999,1.273282574798104e+18,5.042260715167892e+18,99.25284699999999,0.37324799999999997,1.6474522827814988e+16,6.217850500916552e+18,4890578893.936022,8.56693059140137e+16,1.4301130434417e+16,321841.61247700005,4.0196884803824533e+21,817.4003749999999,0.079507,14.348907000000002,2290050608.7409997,87174.01850400002,1
2016-09-30,8951582.0,12885196.88,241227200229.0,73163.0,0.84,1084454.0,1702788.62,4.48,0.735106814413734,250909.16857379,2464312.41,1767.2,446430.0,250943.0,68.45,15903537.5,9.34,0.43,2.47,1322.5,44.63,80130820302724.0,166028298636361.75,5.8190562130322054e+22,5352824569.0,0.7055999999999999,1176040478116.0,2899489084401.505,20.070400000000003,0.5403820285975081,62955410874.390564,6072835654080.009,3122995.8400000003,199299744900.0,62972389249.0,4685.4025,252922505013906.25,87.23559999999999,0.18489999999999998,6.100900000000001,1749006.25,1991.8369000000002,7.172976086670986e+20,2.1393073155809568e+21,1.4037146382449263e+34,391628703941747.0,0.5927039999999999,1.2753618006548086e+18,4.937217016733102e+18,89.91539200000003,0.39723851160874546,1.5796089799714674e+16,1.4965364266239834e+19,5518958248.448001,8.8973385115707e+16,1.5802480275311808e+16,320715.801125,4.022362543082596e+21,814.780504,0.079507,15.069223000000003,2313060765.625,88895.68084700001,1
2016-10-03,8999227.0,11646426.4,241227200229.0,66808.0,0.86,1164434.0,1822703.31,4.64,0.790105668708973,250027.42194966,2004659.2,1715.87,494066.0,260813.0,75.66,15909150.0,8.76,0.43,2.48,1313.3,46.65,80986086597529.0,135639247890616.97,5.8190562130322054e+22,4463308864.0,0.7395999999999999,1355906540356.0,3322247356284.9565,21.5296,0.6242669677260534,62513711726.79332,4018658508144.6396,2944209.8568999995,244101212356.0,68023420969.0,5724.4356,253101053722500.0,76.7376,0.18489999999999998,6.1504,1724756.89,2176.2225,7.288121771328212e+20,1.579712517509426e+21,1.4037146382449263e+34,298184738586112.0,0.636056,1.5788636764128986e+18,6.05547125293934e+18,99.89734399999999,0.4932368699881163,1.5630142179554362e+16,8.056040750010426e+18,5051881367.159002,1.2060210958387949e+17,1.7741392493187796e+16,433110.79749599996,4.026622628829311e+21,672.221376,0.079507,15.252991999999999,2265123223.6369996,101520.779625,2
2016-10-04,9017643.0,12709516.17,241227200229.0,75200.0,0.823938892405063,1244767.25236389,1894652.12,4.70323375612627,0.74,275755.56,1906791.15,1675.07594936709,477181.0,264662.0,71.03602966,15911050.0,8.76,0.5,2.52,1283.3,46.72,81317885275449.0,161531801275491.47,5.8190562130322054e+22,5655040000.0,0.678875298417682,1549445512557.548,3589706655820.4946,22.120407764765623,0.5476,76041128870.9136,3635852489718.3223,2805879.436148058,227701706761.0,70045974244.0,5046.117509856399,253161512102500.0,76.7376,0.25,6.3504000000000005,1646858.89,2182.7583999999997,7.332956589289557e+20,2.0529910402800854e+21,1.4037146382449263e+34,425259008000000.0,0.5593517614594216,1.9286990333538184e+18,6.801245325628411e+18,104.03744849852333,0.405224,2.0968764074830948e+16,6.932811350100362e+18,4700061160.315304,1.0865492813392074e+17,1.853850763536553e+16,358456.15309800446,4.0280654771384825e+21,672.221376,0.125,16.003008,2113414013.5369997,101978.47244799999,2
2016-10-05,9035936.0,1793810.0894,241227200229.0,79463.0,0.78,1281294.75,2002575.35061917,4.96,0.88,243264.07,2302843.29977642,1597.67,470499.0,266811.0,72.77,15913212.5,8.21666666666667,0.52,2.54,1269.4,47.75,81648139396096.0,3217754636833.236,5.8190562130322054e+22,6314368369.0,0.6084,1641716236377.5625,4010308034907.492,24.6016,0.7744,59177407752.964905,5303087263325.15,2552549.4289,221369309001.0,71188109721.0,5295.4729,253230332070156.25,67.51361111111117,0.27040000000000003,6.4516,1611376.3600000003,2280.0625,7.377673621022021e+20,5.772040732765091e+18,1.4037146382449263e+34,501758653705847.0,0.47455200000000003,2.1035223946603297e+18,8.030944019095747e+18,122.023936,0.681472,1.4395737062035798e+16,1.2212178972477995e+19,4078131646.0706635,1.041540385156615e+17,1.8993770742769732e+16,385351.562933,4.029708085677961e+21,554.7368379629637,0.140608,16.387064000000002,2045481151.3840005,108872.984375,1
2016-10-06,9054910.0,10859575.08,241227200229.0,79449.0,0.82,1237023.86,1930626.53,4.67,0.881001521051492,248767.77917287,2291725.0,1704.88,499902.0,274486.0,77.72,15915225.0,8.21,0.52,2.55,1254.5,47.86,81991395108100.0,117930370918157.02,5.8190562130322054e+22,6312143601.0,0.6723999999999999,1530228030209.2998,3727318798339.841,21.808899999999998,0.7761636800950424,61885407954.60182,5252003475625.0,2906615.8144000005,249902009604.0,75342564196.0,6040.3984,253294386800625.0,67.40410000000001,0.27040000000000003,6.5024999999999995,1573770.25,2290.5796,7.424247034782857e+20,1.2806737171979745e+21,1.4037146382449263e+34,501493496955849.0,0.5513679999999999,1.8929285846097047e+18,7.196060557842616e+18,101.847563,0.683801382748656,1.539509550007336e+16,1.2036147665176703e+19,4955431169.654273,1.2492651440505882e+17,2.0680479075903256e+16,469459.763648,4.031237157168977e+21,553.3876610000002,0.140608,16.581374999999998,1974294778.625,109627.139656,1
2016-10-07,9073828.0,15826419.3,241227200229.0,74407.0,0.867495489510489,1140029.908164,1726771.55,4.28061274298973,0.8,232121.37,2375918.79,1862.40559440559,471181.0,266324.0,72.05178137,15916587.5,8.46,0.52,2.55,1258.75,48.59,82334354573584.0,250475547859412.5,5.8190562130322054e+22,5536401649.0,0.752548424321043,1299668191508.418,2981739985889.403,18.32364545544606,0.6400000000000001,53880330410.676895,5644990096675.064,3468554.5980732385,222011534761.0,70928472976.0,5191.459198590279,253337757645156.25,71.57160000000002,0.27040000000000003,6.5024999999999995,1584451.5625,2360.9881000000005,7.470877718917146e+20,3.96413104482028e+21,1.4037146382449263e+34,411947037497143.0,0.6528323637367304,1.4816606090090135e+18,5.148783777131222e+18,78.43643023460825,0.5120000000000001,1.2506776110978984e+16,1.3412038040054202e+19,6459855487.952832,1.0460761696022274e+17,1.8889954636860224e+16,374053.8831681022,4.032272586612923e+21,605.4957360000002,0.140608,16.581374999999998,1994428404.296875,114720.41177900003,2
2016-10-11,9145528.0,1411407.4091,258522748404.0,85676.0,0.92,1114413.27,1786321.73846925,4.42,0.59,304140.41,2864039.24135116,1896.15,444786.0,263565.0,80.75,15924412.5,10.9666666666667,0.55,2.56,1253.45,48.81,83640682398784.0,1992070874462.375,6.683401144235788e+22,7340376976.0,0.8464,1241916936352.093,3190945353327.8037,19.5364,0.34809999999999997,92501388994.96808,8202720775999.329,3595384.8225000002,197834585796.0,69466509225.0,6520.5625,253586913470156.25,120.26777777777852,0.30250000000000005,6.5536,1571136.9025,2382.4161000000004,7.649382028171862e+20,2.8116235916685123e+18,1.7278112324942744e+34,628894137795776.0,0.778688,1.384008714108518e+18,5.700055050916898e+18,86.350888,0.20537899999999998,2.8133410374499076e+16,2.3492914188308517e+19,6817388931.183375,8.799405407785965e+16,1.8308940503887124e+16,526535.421875,4.0382226147005746e+21,1318.9366296296419,0.16637500000000005,16.777216000000003,1969341550.438625,116285.72984100002,1
2016-10-12,9157725.0,14634705.6,258522748404.0,51374.0,0.86,1156671.17,1863429.15,5.08,0.620806359170592,313358.35034925,2714191.17,1625.26,413349.0,235664.0,69.03,15926212.5,10.96,0.56,2.57,1256.5,48.68,83863927175625.0,214174607998671.34,6.683401144235788e+22,2639287876.0,0.7395999999999999,1337888195509.1687,3472368197069.722,25.8064,0.3854005355866461,98193455733.60332,7366833707305.969,2641470.0676,170857395801.0,55537520896.0,4765.1409,253644244595156.25,120.12160000000002,0.31360000000000005,6.604899999999999,1578792.25,2369.7424,7.680027824944004e+20,3.13438233505596e+21,1.7278112324942744e+34,135590775341624.0,0.636056,1.5474967044287788e+18,6.470512117952665e+18,131.096512,0.23925910331994196,3.076973930377404e+16,1.9994994999228223e+19,4293075642.0675764,7.062373369694755e+16,1.3088194324434944e+16,328937.676327,4.039592138824435e+21,1316.5327360000003,0.17561600000000005,16.974592999999995,1983752462.125,115359.060032,1
2016-10-13,9176966.0,14355952.05,258522748404.0,79464.0,0.9120396875,1124610.24223968,1644958.14,4.63029319806687,0.64,259949.23,2088161.19,1794.5546875,400731.0,229703.0,67.12105979,15927662.5,9.51,0.55,2.54,1261.05,48.07,84216704965156.0,206093359261899.22,6.683401144235788e+22,6314527296.0,0.8318163915750976,1264748196950.3916,2705887282352.2593,21.43961510006432,0.4096,67573602177.5929,4360417155422.216,3220426.5264282227,160585334361.0,52763468209.0,4505.236667332755,253690432713906.25,90.4401,0.30250000000000005,6.4516,1590247.1024999998,2310.7249,7.728538380972678e+20,2.958666383387249e+21,1.7278112324942744e+34,501777597049344.0,0.7586495618295296,1.4223487761445783e+18,4.451071311027827e+18,99.27170396699957,0.26214400000000004,1.75657058543916e+16,9.105253876162869e+18,5779231518.75111,6.435152162381789e+16,1.2119926938011928e+16,302396.2597161422,4.040695591746058e+21,860.085351,0.16637500000000005,16.387064000000002,2005381108.6076248,111076.545943,2
2016-10-14,9194097.0,1509943.9908,258522748404.0,73587.0,0.85,1090902.33,1747768.03188358,4.72,0.74,237995.08,2021409.06019797,1762.67,423263.0,239724.0,68.01,15929512.5,10.2333333333333,0.57,2.58,1251.75,48.63,84531419645409.0,2279930855353.031,6.683401144235788e+22,5415046569.0,0.7224999999999999,1190067893599.429,3054693093274.2026,22.278399999999998,0.5476,56641658104.20639,4086094588650.44,3107005.5289000003,179151567169.0,57467596176.0,4625.360100000001,253749368487656.25,104.72111111111045,0.32489999999999997,6.6564000000000005,1566878.0625,2364.8769,7.77190071767596e+20,3.442567894479813e+18,1.7278112324942744e+34,398477031873003.0,0.6141249999999999,1.2982478379858092e+18,5.338894935640218e+18,105.15404799999999,0.405224,1.3480435951843248e+16,8.259668622323896e+18,5476625435.6261635,7.582822977465245e+16,1.3776362025695424e+16,314570.7404010001,4.042103737191226e+21,1071.6460370370269,0.18519299999999994,17.173512000000002,1961339614.734375,115003.96364700001,1
2016-10-17,9245471.0,824156.2854,258522748404.0,66966.0,0.92,1001040.49,1606404.44106947,4.4,0.64,254761.97,1887070.93736659,1897.85,435282.0,237232.0,72.44,15933212.5,11.2666666666667,0.52,2.55,1254.8,48.22,85478734011841.0,679233582764.3263,6.683401144235788e+22,4484445156.0,0.8464,1002082062619.4401,2580535228287.7163,19.360000000000003,0.4096,64903661358.2809,3561036722653.62,3601834.6224999996,189470419524.0,56279021824.0,5247.553599999999,253867260570156.25,126.93777777777852,0.27040000000000003,6.5024999999999995,1574523.0399999998,2325.1684,7.902911564231896e+20,5.597946264899807e+17,1.7278112324942744e+34,300305354316696.0,0.778688,1.0031247189847749e+18,4.145383251057606e+18,85.18400000000003,0.26214400000000004,1.6534984627848518e+16,6.719928906214816e+18,6835741838.311624,8.247306315124576e+16,1.3351184905351168e+16,380132.7827839999,4.044921009457171e+21,1430.1656296296421,0.140608,16.581374999999998,1975711510.5919998,112119.62024799999,2
2016-10-18,9263916.0,14579936.51,258522748404.0,75241.0,0.84,1239301.7,1991941.5,5.11,0.593476883412879,339498.1628114,2509108.68,1622.71,450933.0,251521.0,77.24,15936412.5,11.26,0.52,2.52,1258.2,48.24,85820139655056.0,212574548635630.97,6.683401144235788e+22,5661208081.0,0.7055999999999999,1535868703622.89,3967830939422.25,26.1121,0.35221481114546394,115259002552.31587,6295626368051.343,2633187.7441000002,203340570489.0,63262813441.0,5966.017599999999,253969243370156.25,126.7876,0.27040000000000003,6.3504000000000005,1583067.2400000002,2327.0976,7.950305648727078e+20,3.099323422749407e+21,1.7278112324942744e+34,425954957222521.0,0.5927039999999999,1.9034046953766436e+18,7.903687113219166e+18,133.43283100000002,0.2090313484104657,3.9130219613985704e+16,1.57964107661145e+19,4272900084.2285113,9.169297347231624e+16,1.591192609949376e+16,460815.19942399993,4.0473586246597004e+21,1427.628376,0.140608,16.003008,1991815201.3680003,112259.18822400001,2
2016-10-19,9282480.0,20346645.9,258522748404.0,65497.0,0.807401744,1025580.94892297,1619255.67,5.15152448437572,0.66,244660.6,1956770.55,1592.664,406991.0,199083.0,62.38149631,15937975.0,9.11,0.51,2.52,1269.05,49.06,86164434950400.0,413985999379986.75,6.683401144235788e+22,4289857009.0,0.6518975762142415,1051816282793.7396,2621988924827.1484,26.53820451312253,0.43560000000000004,59858809192.36,3828950985347.3027,2536578.6168959998,165641674081.0,39634040889.0,3891.451081874544,254019047100625.0,82.9921,0.2601,6.3504000000000005,1610487.9024999999,2406.8836,7.99819644138389e+20,8.423226536942209e+21,1.7278112324942744e+34,280972764518473.0,0.5263432399447515,1.0787227414002344e+18,4.2456704332035635e+18,136.71221032072094,0.28749600000000003,1.4645092172288314e+16,7.492378525521083e+18,4039917446.3000507,6.741467057590027e+16,7890463762304787.0,242754.54130450237,4.0485492222135836e+21,756.0580309999999,0.13265100000000002,16.003008,2043789672.6676247,118081.70941600001,2
2016-10-20,9300889.0,2796925.7268,258522748404.0,74623.0,0.97,1065517.32,1722065.56082647,4.12,0.6,290684.88,2465644.96871897,2017.76,415474.0,270380.0,89.31,15938712.5,13.4166666666667,0.51,2.52,1271.65,48.51,86506536190321.0,7822793521235.707,6.683401144235788e+22,5568592129.0,0.9409,1135327159219.9824,2965509795784.5845,16.9744,0.36,84497699460.6144,6079405111769.172,4071355.4176,172618644676.0,73105344400.0,7976.2761,254042556157656.25,180.00694444444534,0.2601,6.3504000000000005,1617093.7225000001,2353.2201,8.045876908806584e+20,2.187977245498851e+19,1.7278112324942744e+34,415545050442367.0,0.912673,1.209710752015289e+18,5.106802289614171e+18,69.934528,0.216,2.456220362798476e+16,1.4989654626638047e+19,8215018107.416575,7.1718558778116424e+16,1.9766223018872e+16,712361.218491,4.0491112653619876e+21,2415.0931712963143,0.13265100000000002,16.003008,2056377232.2171254,114154.70705099999,1
