Date,Bitcoin_Price,Growth,Class
2015-07-29,287.56,-0.00966754764223129,3
2015-07-30,284.78,0.012887140950909532,2
2015-07-31,288.45,-0.02690240942971049,3
2015-08-01,280.69,0.013181801987958205,2
2015-08-02,284.39,-0.007489714828228825,3
2015-08-03,282.26,0.0015234181251328805,2
2015-08-04,282.69,-0.019774311082811472,3
2015-08-05,277.1,0.014074341392998834,2
2015-08-06,281.0,-0.039537366548042754,3
2015-08-07,269.89,-0.01656230316054678,3
2015-08-08,265.42,-0.012056363499359462,3
2015-08-09,262.22,0.013843337655403841,2
2015-08-10,265.85,0.007673500094037854,2
2015-08-11,267.89,0.011534585090895636,2
2015-08-12,270.98,-0.014724333899180785,3
2015-08-13,266.99,-0.005917824637626818,3
2015-08-14,265.41,0.0019592328849703544,2
2015-08-15,265.93,-0.03181288308953476,3
2015-08-16,257.47,-7.76789528878652e-05,3
2015-08-17,257.45,-0.003068557001359346,3
2015-08-18,256.66,-0.09105431309904165,3
2015-08-19,233.29,-0.00025719062111535974,3
2015-08-20,233.23,0.00891823521845394,2
2015-08-21,235.31,-0.03939484084824279,3
2015-08-22,226.04,0.01167934878782523,2
2015-08-23,228.68,-0.0023613783452860787,3
2015-08-24,228.14,-0.02682563338301033,3
2015-08-25,222.02,0.030717953337537126,2
2015-08-26,228.84,-0.01660548855095268,3
2015-08-27,225.04,0.04057056523284747,2
2015-08-28,234.17,-0.025408890976640855,3
2015-08-29,228.22,0.0061782490579265475,2
2015-08-30,229.63,0.005704829508339513,2
2015-08-31,230.94,-0.011344938079154779,3
2015-09-01,228.32,-0.0015329362298528134,3
2015-09-02,227.97,-0.0024125981488792884,3
2015-09-03,227.42,0.014862369184768376,2
2015-09-04,230.8,-0.00030329289428085616,3
2015-09-05,230.73,0.04104364408616131,2
2015-09-06,240.2,0.0046211490424646695,2
2015-09-07,241.31,-0.0034809995441548356,3
2015-09-08,240.47,-0.0016218239281406677,3
2015-09-09,240.08,-0.001666111296234612,3
2015-09-10,239.68,-0.0036298397863818613,3
2015-09-11,238.81,-0.015409739960638193,3
2015-09-12,235.13,-0.022413133160379288,3
2015-09-13,229.86,0.0006090663882362584,2
2015-09-14,230.0,0.0,3
2015-09-15,230.0,-0.009304347826086898,3
