Date,Bitcoin_my_wallet_num_users,Volume,Difficulty,wallet_num_transaction,Bitcoin_Avg_Block_Size,Miners_Revenue,Hash_Rate,Bitcoin_Cost_Transaction,Bitcoin_Cost_percentage_of_Transaction_Volume,Estimated_Transaction_Volume,Total_Output_Volume,num_transaction_per_Block,num_of_unique_addresses,num_of_transaction,Total_transaction_fees,Total_Bitcoins,Median_transaction_confirmation_time,Class
2014-03-14,1387579.0,4313170.3971,4250217919.86954,67.0,0.194363948277,2790767.94,29367.8475506144,42.3498124374,2.35778224425,186022.0,628708.135968921,431.0,135298.0,65898.0,11.78133769,12511700.0,12.4333333333333,3
2020-10-30,55639970.0,228409072.2456,19997335994446.0,99744.0,1.2940942792792796,12828892.041338578,110342099.02156112,47.80407223524235,0.677460094981008,141057.58993046999,2350724.46566804,2417.6936936936936,635998.0,268364.0,262.34694254,18530012.5,14.266666666666667,2
2016-01-30,5879958.0,5113886.1048,120033340651.237,100316.0,0.641980090395,1689976.32,1056139.48191232,8.04811947577,1.14685286792,389588.0,3422463.24380942,1086.0,428332.0,209984.0,43.85418346,15145475.0,7.25,3
2014-08-26,2092230.0,2881655.525,23844670038.8033,31290.0,0.245152941402,2077894.24,196763.946158505,27.9595016012,3.49137442288,115599.0,1788493.64968411,441.0,163451.0,74318.0,11.61214904,13187050.0,6.81666666666667,2
2013-09-09,426674.0,644605.7192,86933017.7711944,10566.0,0.12247766987,577218.42,834.042504352828,10.7788541764,3.13261857921,149332.0,1030766.75658514,255.0,56478.0,53551.0,28.07548626,11679100.0,6.13333333333333,2
2015-05-24,3461126.0,1090396.64385,48807487244.7,58854.0,0.396522475613,851874.75,349377.602526,8.07318824098,3.33948484429907,120198.31489406,886365.209672,1071.0,249786.0,105519.0,15.48928101,14199975.0,8.0,2
2016-02-08,5974030.0,1082358.75,144116447847.349,86341.0,0.753973496894,1527627.0,1153414.86436954,6.92616034712,1.63712806502,248301.0,2629156.67830238,1245.0,396540.0,220559.0,40.9030054,15183225.0,7.73333333333333,3
2016-08-15,8313574.0,2730947.824,203483855226.699,61040.0,0.8,1035485.42,1577645.90337332,5.27,0.88,213376.76,2077130.22974422,1389.69,384259.0,202896.0,68.34,15816812.5,7.83333333333333,2
2016-09-05,8581092.0,2386266.845,220755908330.0,56005.0,0.88,1072259.87,1536337.00155853,4.87,0.69,260037.07,1713681.50703497,1626.3,422792.0,227683.0,63.04,15855700.0,9.96666666666667,2
2016-12-16,10673581.0,2363198.5804,310153855703.0,94549.0,0.96,1317539.32,2050571.62855749,4.93,0.57,307291.63,1883877.69280803,2100.45,495266.0,279361.0,97.57,16047112.5,17.025,2
2018-07-18,26357257.0,761941225.026,5178671069072.0,56791.0,1.04647424713,16010523.0,44793365.5190113,68.0356508538,1.53043245544,144196.281052,1137516.75989191,1372.23563218,494822.0,238769.0,31.82668475,17156437.5,11.025,2
2013-04-26,242215.0,6037557.54177,8974296.01489,7877.0,0.15767347368421,619929.370863019,70.9322332672,11.0925505191372,1.81696987931,221082.0,893994.838996,323.181286549708,72592.0,55264.0,40.59900011,11086050.0,6.4,2
2014-09-01,2125124.0,5403358.3772,27428630902.2579,27625.0,0.273700780802,1734368.9,204522.695658425,24.2436838647,3.0315048554,118291.0,708067.73216985,362.0,167302.0,71539.0,11.41237447,13219475.0,8.45,3
2015-10-18,4565229.0,16433851.5536,60883825480.1,54437.0,0.517376356643,944259.12,432796.84744,7.81296331232,1.83020449030537,218254.61888013,1071197.31515,949.0,276825.0,120858.0,23.11188843,14737100.0,8.68333333333,2
2020-05-26,49457839.0,151521072.3334,15138043247083.0,94097.0,1.30755558064516,7687822.76814688,93312010.2232088,25.5813937261146,0.747837809071913,116290.36726367,952761.581576603,2385.33870967742,605213.0,295782.0,80.47442225,18386437.5,11.95,3
