Date,Bitcoin_my_wallet_num_users,Volume,Difficulty,wallet_num_transaction,wallet_transaction_volume,Bitcoin_Avg_Block_Size,Miners_Revenue,Hash_Rate,Bitcoin_Cost_Transaction,Bitcoin_Cost_percentage_of_Transaction_Volume,Estimated_Transaction_Volume,Total_Output_Volume,num_transaction_per_Block,num_of_unique_addresses,num_of_transaction,Total_transaction_fees,Total_Bitcoins,Median_transaction_confirmation_time
2018-07-27,26757275.0,569963389.5512,5178671069072.0,56295.0,32900.62198919,0.886276053892,16568111.75,42991333.5728441,72.9416460135,1.91644642147,110006.938994,975850.530455948,1373.63473054,517777.0,229397.0,20.72404572,17175200.0,10.425
2018-07-28,26816007.0,437067809.34,5178671069070.0,49205.0,27980.9207511,0.759045937931,14770485.99,37327804.5992,79.1485032384,2.97712220237153,63140.85524892,658610.474384,1298.19310345,395734.0,188238.0,16.74880998,17177012.5,10.425
2018-07-29,26842015.0,261609974.091,5595791656330.0,42478.0,20394.52895,0.539320923529412,17783188.6373367,50277183.1008,105.557631595942,2.41329064515,88703.3968105,661003.324248,990.629411764706,380500.0,168407.0,15.67077716,17178562.5,12.775
2018-07-30,26892507.0,244581855.3829,5949437371609.0,62998.0,45347.38416604,0.91108788806,13817728.25,39630250.2088953,60.714697862,1.59396337061,106625.906597,874826.162318069,1723.31343284,479274.0,230924.0,24.57789474,17180812.5,9.71666666666667
2018-07-31,26942008.0,685149433.582,5949437371610.0,66412.0,40660.2495783,0.950214047619,14996021.25,43474975.9754,62.5771427914,1.60926182537112,115565.8388714,871944.343415,1652.9047619,500312.0,242977.0,25.5829697,17182650.0,9.71666666667
2018-08-01,27000921.0,709577850.343,5949437371610.0,62321.0,42002.6697305,0.990541166666667,14364964.4006987,44362220.3831,59.5947810387263,2.01203675734,94246.9510897,905661.754916,1606.96,495639.0,241044.0,21.2832986,17184062.5,8.46666666667
2018-08-02,27040929.0,561036987.738,5949437371609.0,58758.0,36399.39907681,0.80693845098,14541709.8,45249464.7907536,65.4160878861,1.42131505291,136332.126632,920947.221494545,1469.75816993,470016.0,224873.0,25.20903778,17186437.5,12.95
2018-08-03,27083505.0,473049731.69,5949437371610.0,57926.0,35041.4321678,0.834025710843,15674653.75,49094190.5573,68.955403575,1.67941090472202,125025.88092394,982848.127572,1384.69277108,537623.0,229859.0,23.21487948,17188512.5,12.95
2018-08-04,27143784.0,450885758.335,5949437371610.0,48260.0,25231.1195482,0.574082176136363,16086605.4056142,52051671.9162,83.9343483703396,3.36708219761,65849.1358715,966188.419272,1088.96022727273,416160.0,191657.0,17.19453121,17189575.0,7.86666666667
2018-08-05,27222344.0,485518589.8088,5949437371610.0,41153.0,29100.80633615,0.57810536875,14016460.0,47319701.7419725,81.9601564862,3.77762846008,53304.0756676,1022297.11046653,1076.13125,374556.0,172181.0,13.6299328,17192712.5,4.55416666666667
2018-08-06,27274485.0,321607416.453,5949437371610.0,58159.0,33441.6037032,1.05098670229,11517945.75,38743005.8012,53.2590456155,1.57902204601336,104968.69776034,1259506.27965,1668.75572519,452410.0,218607.0,17.7504862,17194350.0,9.825
2018-08-07,27315257.0,367996501.76,5949437371610.0,59801.0,37681.7222595,1.01645843708609,13496173.2906021,44657968.519,57.0925851263462,2.0299087622,93901.5277312,1138346.25303,1543.34437086093,477950.0,233045.0,18.61533926,17195087.5,14.45
2018-08-08,27405577.0,508615426.2348,5949437371610.0,56947.0,19771.04632312,0.812957789809,12792695.7482,46432457.3343105,54.3650562371,1.62807998979,121815.320656,1327631.36933921,1498.79617834,498557.0,235311.0,20.75086011,17198212.5,6.64166666666667
2018-08-11,27566714.0,589620096.576,6197839919507.6,46859.0,10959.07099182,0.611510917647,13261117.577,52376369.8984008,68.9111172276,2.61364227626,81893.0167328,800612.262203394,1131.98823529,389255.0,192438.0,15.39050663,17204400.0,4.54166666666667
2018-08-14,27689208.0,466729007.056,6389316883512.0,63352.0,16362.86916243,1.01179291912,10446684.9281,43195594.4438796,42.1880322754,0.98791980336,174756.677566,1171296.37463736,1820.75,514444.0,247622.0,26.45582537,17209912.5,7.63333333333333
2018-08-17,27780989.0,395312232.81,6389316883512.0,62001.0,18102.75587983,0.833029453947,12467282.792,48277429.084336,53.3259313414,1.58806585285,121209.346924,861833.507632315,1538.11842105,512304.0,233794.0,24.88424895,17215800.0,7.26666666666667
2018-08-20,27854758.0,242872344.6024,6389316883512.0,57524.0,13063.00074961,0.818181573333,12251866.1225,47642199.754279,56.9899300059,1.96571836049,96863.9443574,859771.470318516,1433.22,459855.0,214983.0,29.07233893,17221487.5,7.20833333333333
2018-08-23,27910696.0,758373447.51,6389316883512.0,58846.0,20208.71459649,0.768391154362,12109214.1826,47324585.0892504,55.7124580524,1.36879778739,137478.916732,876297.028194091,1458.73825503,444345.0,217352.0,19.30837036,17227200.0,6.075
2018-08-26,27986176.0,282579594.6204,6727225469723.0,45369.0,10283.23693377,0.56971550289,14616492.4672,57853309.2089489,84.6121348981,3.8522263793,56858.1072439,515508.311929805,998.537572254,368937.0,172747.0,27.80300602,17232875.0,4.36666666666667
2018-08-29,28060207.0,511091113.8893,6727225469723.0,63593.0,21342.39994452,0.907886179856,12423621.4581,46483294.6823347,52.3082231255,1.42681694087,123431.918452,901330.970696554,1708.69064748,509196.0,237508.0,23.64752291,17238837.5,9.31666666666667
2018-09-01,28134322.0,371447313.6576,6727225469723.0,54482.0,8564.13079608,0.76929605298,13539458.2481,50496240.9858456,63.466904707,2.54807983002,74829.355805,881906.292394451,1412.78807947,437403.0,213331.0,19.2117222,17244587.5,6.15
2018-09-04,28204944.0,347423826.5848,6727225469723.0,62084.0,10111.44275916,0.957670738095,11716417.735,42135936.1868645,50.4441811508,1.38289427402,115634.764561,936828.26664435,1843.37301587,474898.0,232265.0,24.1065379,17249762.5,9.38333333333333
2018-09-07,28272498.0,771294810.4338,6971177230937.86,60430.0,11805.35864891,0.889911335526,12425079.4152,52673943.1674501,53.8371654543,1.68367210396,114506.972307,1086048.21016274,1518.35526316,539382.0,230790.0,27.92194982,17255187.5,7.40833333333333
2018-09-10,28362032.0,277073175.0644,7019199231177.0,59373.0,14489.82705932,0.899061755556,10753469.6136,47105048.6593962,48.2508306049,1.51953153769,112368.522844,861391.083900317,1650.85925926,451964.0,222866.0,19.97514305,17260787.5,8.13333333333333
2018-09-13,28433724.0,310389619.7556,7019199231177.0,62180.0,8437.94599637,0.819058952703,12063757.5583,51641090.3821529,51.5085140123,0.965424128781,193728.122384,1120970.31826269,1582.49324324,466216.0,234209.0,20.29803773,17266500.0,7.33333333333333
2018-09-16,28493640.0,162919518.615,7019199231177.0,46876.0,5282.73301034,0.627328395683,11344822.2447,48500753.8048598,63.2083386434,4.01794298771,43568.8151246,688822.066188933,1291.24460432,370211.0,179483.0,13.07015213,17271637.5,5.00833333333333
2018-09-19,28578862.0,286102549.0962,7019199231177.0,62579.0,13938.90287781,0.80443724359,12463162.5358,54432500.67308,49.6467155669,1.85188770804,106220.984494,936652.793647649,1609.21153846,480227.0,251037.0,17.09335521,17277050.0,5.3
2018-09-22,28682122.0,562369970.232,7152633351906.0,58849.0,8528.73130952001,0.732038903226,13124461.7112,55111696.535195,58.1920558986,2.85472525506,68523.4408454,749155.219570635,1455.07741935,445041.0,225537.0,18.65597145,17282712.5,5.625
