Date,Difficulty,Miners_Revenue,Hash_Rate,Total_transaction_fees,Total_Bitcoins,Class
2017-02-06,422170566883.00006,1694793.75,2623276.58868,154.93020175,16148375.0,2
2017-08-13,923233068448.0,8147957.3395,6792336.38500398,189.71104645,16503825.0,1
2018-02-12,2874674234415.0,18398084.88,23721537.9941597,69.96971094,16861262.5,1
2018-09-06,6727225469720.0,12250781.5532615,50161828.7939,31.29006024,17253287.5,2
2018-11-20,6653303141400.0,7923554.71569229,43657349.0875,69.36765011,17386200.0,3
2021-06-26,19932791027263.0,18459502.48536148,88186933.06283121,29.41353190000001,18743331.25,2
2013-08-22,50810339.0482765,581466.8,525.365496045046,35.02624015,11591350.0,3
2020-12-15,18670168558400.0,18584575.835623957,129933875.82961763,70.05172631,18571981.25,2
2019-04-13,6393023717200.0,8912797.68267318,42902855.9186,66.22119369,17642762.5,3
2014-10-21,35002482026.1,1903489.71658992,297537.062088,13.01537323,13412625.0,2
2015-08-18,52699842409.347,926771.5,379859.889463106,25.78007236,14510800.0,3
2020-12-25,18670168558400.0,23792132.986943312,133646272.28189245,92.4849457699999,18580981.25,2
2013-08-27,65750060.1491,476767.178804472,545.831687435,39.84639775,11613775.0,3
2017-01-22,339477557142.0,2002158.0,3398969.89226,87.1148655,16119687.5,2
2020-07-16,17345948872516.0,8476261.34494985,117268964.179098,78.15856789,18434768.75,3
2014-03-13,4250217919.87,4140207.61988635,29367.8475506,14.65089124,12513675.0,2
2014-02-24,3129573174.52229,2253504.0,28314.0905922709,18.46032012,12438000.0,3
2016-10-20,258522748404.0,1065517.32,1722065.56082647,89.31,15938712.5,2
2018-09-22,7152633351906.0,13124461.7112,55111696.535195,18.65597145,17282712.5,3
2014-04-05,6119726089.13,1635965.53,43198.2792209,9.16831339,12608050.0,3
2016-10-28,253618246641.0,1374557.9766865,1916329.57,82.18591551,15954537.5,3
2021-05-12,20608845737768.0,64585949.4848341,176209059.88134116,76.98423673000005,18708468.75,3
2019-01-08,5618595848853.0,8610282.07595,47202023.5651017,20.94683492,17470962.5,2
2019-11-08,12720005267400.0,14762408.0374,80936306.1161,40.88879104,18035187.5,3
2015-09-20,59335351233.8666,695204.0,353949.157008514,20.50270252,14632525.0,3
2015-12-21,93448670796.3,1776647.77870964,715385.22776,41.10369193,14988600.0,3
2020-07-14,17345948872516.0,9003009.80517444,124167138.542574,62.95443097,18433018.75,2
2018-10-10,7454968648263.0,11916022.1738,53364744.2283249,15.6339373,17315387.5,3
2020-08-21,16947802333947.0,12988330.809193192,130584372.66577661,136.10850768000006,18467206.25,3
2020-01-07,13798783827500.0,17646229.3032,120725662.574,25.56190656,18145662.5,1
2020-06-28,15784744305477.0,8666896.61256926,117699584.319003,19.69907106,18417425.0,2
2013-08-04,37392766.1364746,513592.8,317.855567249954,27.05473128,11509800.0,2
2016-03-16,158427203767.0,1787925.02,1338828.03271,48.1134711,15324150.0,2
2018-09-15,7019199231180.0,11500218.9046532,48849680.0912,15.69995673,17269900.0,2
2012-11-26,3438908.96016,96217.79321,25.9842619295,79.95789105,10483450.0,3
2012-06-17,1583177.84744,50932.5168,12.3559310339,26.16138093,9258450.0,2
2015-03-31,46717549644.7,865953.6,329772.562477,18.11563857,14002650.0,2
2017-03-26,475705205060.99994,2046573.52,3925474.04529,154.65177428,16237675.0,1
2017-12-07,1590896927260.0,34256501.8456203,11941671.1962,364.60560502,16725125.0,2
2013-03-08,4367876.00084,197341.69368,36.9118099308,39.84122112,10875925.0,2
2020-05-28,15138043247083.0,8457127.38821037,98579623.7035512,88.34237133,18387993.75,2
2017-06-17,679668719408.648,5461151.4595,5129905.64429561,311.39831919,16396837.5,2
2018-03-04,3007383866430.0,21193664.6514841,22125683.7062,33.46586197,16900412.5,2
2012-03-26,1498294.36282,48194.038893809,11.0231312805,3.47762179,8648400.0,2
2012-08-14,2190865.9701,107128.328504413,18.6233600144,20.67631015,9703150.0,3
2018-07-21,5178671069072.0,12556546.625,35268339.5178422,17.37819099,17161950.0,2
2014-06-22,13462580114.5,2341748.5,105738.10101,9.92050289,12935200.0,3
2014-04-06,6119726089.13,2355981.89585422,44415.1321567,10.34855898,12616825.0,2
2019-10-26,13691480038694.0,16769057.917,95285003.0093039,47.8563533,18014500.0,1
2014-09-24,29829733124.0,1964038.52619637,241703.584482,12.35686671,13307450.0,2
2014-08-21,23844670038.8,2091138.75,190837.321274,10.85000669,13174750.0,3
2012-05-10,1733207.51385,36001.347504345,10.597460179,8.83074595,8977300.0,2
2015-09-26,59335351233.8666,842917.0,448335.598877451,20.98693709,14655925.0,2
2019-05-23,6704632680587.0,16469421.0512,52659677.5344978,163.9629164,17718312.5,2
2013-08-23,65750060.1491,508919.62,607.932298581,28.06437009,11601300.0,2
2018-08-29,6727225469723.0,12423621.4581,46483294.6823347,23.64752291,17238837.5,3
2014-05-03,8000872135.97,1824628.31054812,60454.277695,10.28949159,12727800.0,2
2014-07-04,16818461371.2,2409626.24,127079.637926,8.26076745,12983950.0,2
2018-08-02,5949437371609.0,14541709.8,45249464.7907536,25.20903778,17186437.5,3
2019-02-10,5894008795042.54,6454979.70124,41018987.2961362,13.62075475,17530987.5,2
2016-04-02,166851513282.777,1591174.42,1244135.05700979,56.1792388,15383775.0,2
2014-06-07,11756551916.9,2450216.0,87663.2048556,8.70951916,12870925.0,3
2019-10-17,13008091666972.0,15858419.077,96995361.6198175,25.40381954,17996500.0,2
2018-12-22,5106422924660.0,8628688.41201,44422290.5749,18.77646281,17437562.5,2
2021-03-25,21865558044611.0,55913485.57796882,167389189.0439892,84.22598289000005,18664456.25,3
2017-11-04,1452839779140.0,14231239.1618025,9388737.42949,273.249729,16663900.0,3
2017-03-06,460769358090.00006,2635445.79832531,3252505.60194,238.98093612,16200900.0,2
2015-12-08,79102380900.2,1582724.93,625219.90858,32.11371119,14933950.0,2
2018-11-14,7184404942700.0,10486098.1233794,48213725.4221,25.82337117,17376462.5,3
2012-06-25,1726566.55919348,47862.9366,13.1316976462245,19.65510869,9317650.0,3
2015-08-13,52699842409.3,900557.27,351042.932331,23.62123658,14492325.0,3
2016-02-04,120033340651.0,1768733.96009392,1103874.59974,38.13751292,15167425.0,2
2013-08-28,65750060.1490848,596683.12,545.831687435287,44.63568124,11622375.0,1
2020-05-24,15138043247083.0,7286826.33878152,87291880.5313888,73.43623594,18384906.25,3
2015-03-05,46684376316.9,1112274.88396849,366669.483604,14.89058476,13911325.0,2
2017-07-27,836351931635.0,5348202.5,6585327.4853,166.27056958,16473487.5,1
2018-04-13,3511060552899.0,16284279.6875,28798401.5171434,36.36336175,16976162.5,2
2017-10-20,1196792694100.0,13887260.4956728,10649226.8651,161.97244556,16636137.5,2
2013-10-18,267731249.482421,909425.5,2302.45571980844,35.8234771,11867500.0,1
2017-06-11,678760110082.0,6255384.1416,4926236.82055794,356.12024978,16385912.5,3
2018-10-05,7454968648260.0,10814043.71,48176505.2061,21.33672301,17305562.5,2
2020-11-16,17040598812944.875,17711414.833960325,135534841.86269382,83.45770554999999,18545412.5,2
2019-03-09,6071846049921.0,7087594.99281,41652968.3921821,24.54420613,17579525.0,2
2014-08-08,19729645940.5771,2551035.74,157903.329123918,9.89679335,13114900.0,2
2015-05-13,47643398017.8,1209740.0246009,331571.262615,15.48162095,14154775.0,3
2016-03-23,165496835118.0,1633014.90774603,1242260.73678,38.35156743,15348775.0,2
2021-04-04,23137439666472.0,56501558.977773495,167924581.1965032,67.19630150000003,18673475.0,2
2013-09-10,86933017.7712,626456.8,868.614214378,23.61451906,11684125.0,2
2012-11-22,3368767.14053294,90403.39,24.6169614626733,23.99715144,10461900.0,2
2016-09-24,225832872179.0,1258908.62,1874777.56,59.47,15891812.5,3
2016-01-06,103880340815.456,1477472.5,702293.086156962,30.18982189,15050975.0,2
2018-07-15,5363678461481.0,10424456.875,35461777.0360721,15.27821656,17150875.0,2
2020-01-02,13798783827500.0,12576131.2232563,96717718.3124,13.78084459,18137575.0,3
2012-11-29,3438908.96016,41061.9,22.0524328217,21.88004872,10503775.0,2
2018-11-28,6653303141400.0,6211551.65298,39027024.1843,38.73742361,17398475.0,2
2014-10-19,35002482026.1332,1332696.9,233157.697776197,12.24408182,13401650.0,3
2019-06-05,7459680720540.0,16774166.5205,59331638.3951,159.42665516,17742300.0,2
2014-01-19,1789546951.05324,3815931.36,16368.4305071198,13.5138866,12282175.0,2
2013-12-16,908350862.437,9363103.16157005,8895.41015914,15.70545173,12130900.0,3
2014-11-25,40300030327.9,1332726.72,286475.528436,13.02889699,13543250.0,2
